Date,Tm,,Opp,Result2,Result,GS,MP2,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,plmi
2/18/00,LAL,@,ORL,W,1,1,44:14:00,44,4,10,0.4,1,2,0.5,2,2,1,0,3,3,5,4,0,4,2,11,9.2,8
2/20/00,LAL,@,PHI,W,1,1,39:01:00,39,7,15,0.467,0,1,0,4,5,0.8,1,2,3,7,0,5,3,3,18,15.4,10
2/22/00,LAL,@,NJN,W,1,1,39:26:00,39,9,20,0.45,0,1,0,3,4,0.75,3,1,4,4,0,1,1,3,21,13.9,5
2/23/00,LAL,@,CLE,W,1,1,39:15:00,39,9,22,0.409,1,3,0.333,2,3,0.667,0,7,7,6,2,1,0,2,21,17,6
2/25/00,LAL,,BOS,W,1,1,31:08:00,31,6,12,0.5,0,0,0,5,6,0.833,1,5,6,5,3,2,2,5,17,16.7,8
2/27/00,LAL,,HOU,W,1,1,35:59:00,35,13,18,0.722,2,4,0.5,3,7,0.429,1,3,4,6,1,1,4,5,31,23.5,22
2/29/00,LAL,@,POR,W,1,1,35:45:00,35,6,11,0.545,0,1,0,10,10,1,1,6,7,3,1,1,5,4,22,16.4,2
3/1/00,LAL,,VAN,W,1,1,41:46:00,41,9,22,0.409,1,4,0.25,8,10,0.8,3,3,6,3,2,0,1,2,27,19.7,10
3/3/00,LAL,,IND,W,1,1,40:43:00,40,9,17,0.529,1,2,0.5,3,4,0.75,1,4,5,7,1,1,3,3,22,17.6,10
3/5/00,LAL,,MIA,W,1,1,38:48:00,38,5,12,0.417,1,3,0.333,4,6,0.667,1,6,7,3,3,1,2,4,15,12.5,9
3/6/00,LAL,@,LAC,W,1,1,29:21:00,29,9,12,0.75,1,2,0.5,3,4,0.75,0,1,1,5,0,0,0,5,22,18.6,6
3/9/00,LAL,@,GSW,W,1,1,38:58:00,38,9,19,0.474,1,4,0.25,11,13,0.846,3,1,4,4,2,1,2,2,30,24.6,30
3/12/00,LAL,,SAC,W,1,1,43:00:00,43,15,24,0.625,2,4,0.5,8,9,0.889,3,7,10,8,0,1,4,3,40,34.1,-5
3/13/00,LAL,@,DEN,W,1,1,43:26:00,43,8,20,0.4,0,3,0,6,8,0.75,2,7,9,5,1,0,1,4,22,15.8,7
3/16/00,LAL,@,WAS,L,0,1,33:16:00,33,2,10,0.2,0,0,0,3,4,0.75,1,2,3,7,1,0,6,6,7,-0.8,-7
3/17/00,LAL,@,DET,W,1,1,33:09:00,33,12,21,0.571,0,1,0,1,5,0.2,2,6,8,6,2,2,4,3,25,19.1,27
3/19/00,LAL,@,NYK,W,1,1,44:05:00,44,8,23,0.348,1,4,0.25,7,10,0.7,2,7,9,7,3,1,2,2,24,19.2,12
3/20/00,LAL,@,MIA,W,1,1,43:16:00,43,11,25,0.44,0,0,0,1,1,1,0,5,5,4,1,0,2,2,23,12.4,13
3/22/00,LAL,,GSW,W,1,1,28:01:00,28,7,16,0.438,2,4,0.5,2,2,1,1,5,6,4,2,2,3,2,18,14.2,19
3/24/00,LAL,,PHO,W,1,1,33:13:00,33,9,15,0.6,1,2,0.5,9,11,0.818,2,4,6,7,2,0,1,5,28,26.8,6
3/26/00,LAL,@,SAC,W,1,1,43:58:00,43,8,19,0.421,0,1,0,8,11,0.727,5,9,14,4,2,1,3,1,24,21,2
3/29/00,LAL,@,VAN,W,1,1,42:35:00,42,13,20,0.65,0,0,0,2,2,1,3,3,6,3,4,0,1,5,28,25.3,5
3/31/00,LAL,,PHI,W,1,1,37:20:00,37,4,12,0.333,0,2,0,2,2,1,1,8,9,5,0,1,4,2,10,5.7,7
4/2/00,LAL,,NYK,W,1,1,29:10:00,29,5,11,0.455,0,0,0,7,7,1,0,6,6,8,0,1,2,1,17,17,9
4/5/00,LAL,@,GSW,W,1,1,42:11:00,42,5,14,0.357,1,1,1,5,6,0.833,2,3,5,11,1,0,4,4,16,13.2,10
