Date,Age,Tm,,Opp,Result,GS,MP2,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,plmi
4/21/02,30-046,LAL,,POR,W,1,42:50:00,42,10,17,0.588,0,0,0,5,10,0.5,2,7,9,3,1,2,4,3,25,17.9,12
4/25/02,30-050,LAL,,POR,W,1,39:21:00,39,12,20,0.6,0,0,0,7,9,0.778,4,10,14,2,1,2,2,2,31,27.8,4
4/28/02,30-053,LAL,@,POR,W,1,45:28:00,45,5,11,0.455,0,0,0,11,16,0.688,2,9,11,7,0,1,2,4,21,19.4,1
5/5/02,30-060,LAL,,SAS,W,1,35:17:00,35,9,22,0.409,0,0,0,5,7,0.714,6,11,17,1,1,4,3,2,23,18.6,5
5/7/02,30-062,LAL,,SAS,L,1,40:23:00,40,7,16,0.438,0,0,0,5,10,0.5,1,6,7,5,2,2,3,5,19,13,0
5/10/02,30-065,LAL,@,SAS,W,1,39:56:00,39,10,20,0.5,0,0,0,2,4,0.5,4,11,15,3,0,0,3,3,22,15.2,6
5/12/02,30-067,LAL,@,SAS,W,1,39:53:00,39,9,18,0.5,0,0,0,4,6,0.667,3,8,11,5,0,3,2,5,22,18.3,2
5/14/02,30-069,LAL,,SAS,W,1,40:02:00,40,7,18,0.389,0,0,0,7,9,0.778,1,10,11,2,0,6,4,3,21,14.5,8
5/18/02,30-073,LAL,@,SAC,W,1,42:03:00,42,11,21,0.524,0,0,0,4,6,0.667,3,6,9,0,2,4,4,2,26,18.8,14
5/20/02,30-075,LAL,@,SAC,L,1,37:05:00,37,15,27,0.556,0,0,0,5,11,0.455,6,6,12,1,1,1,4,4,35,22.5,2
5/24/02,30-079,LAL,,SAC,L,1,40:15:00,40,9,20,0.45,0,0,0,2,6,0.333,8,11,19,4,0,1,5,5,20,13.4,-2
5/26/02,30-081,LAL,,SAC,W,1,41:29:00,41,9,22,0.409,0,0,0,9,13,0.692,6,12,18,3,0,3,2,4,27,22,-2
5/28/02,30-083,LAL,@,SAC,L,1,31:53:00,31,14,18,0.778,0,0,0,0,1,0,3,4,7,0,0,2,1,6,28,21.9,5
5/31/02,30-086,LAL,,SAC,W,1,43:38:00,43,14,25,0.56,0,0,0,13,17,0.765,2,15,17,1,0,2,6,4,41,27.9,8
6/2/02,30-088,LAL,@,SAC,W,1,50:22:00,50,12,25,0.48,0,0,0,11,15,0.733,3,10,13,2,0,4,3,3,35,25.8,10
6/5/02,30-091,LAL,,NJN,W,1,40:12:00,40,12,22,0.545,0,0,0,12,21,0.571,2,14,16,1,1,4,5,2,36,26.1,-3
6/7/02,30-093,LAL,,NJN,W,1,40:48:00,40,14,23,0.609,0,0,0,12,14,0.857,3,9,12,8,0,1,4,2,40,35,35
6/9/02,30-095,LAL,@,NJN,W,1,41:47:00,41,12,19,0.632,0,0,0,11,17,0.647,5,6,11,2,0,4,2,1,35,31.2,2
6/12/02,30-098,LAL,@,NJN,W,1,43:24:00,43,12,20,0.6,0,0,0,10,16,0.625,3,7,10,4,1,2,3,2,34,28,11
